"","GSE5281_VCX","GSE5281_HIP","GSE5281_EC"
"GSE5281_VCX",1,0.357622399120438,0.162457084112952
"GSE5281_HIP",0.357622399120438,1,0.219304370540234
"GSE5281_EC",0.162457084112952,0.219304370540234,1
