"","GSE5281_VCX","GSE5281_HIP","GSE5281_EC"
"GSE5281_VCX",1,0.26129885562942,0.451912294700406
"GSE5281_HIP",0.26129885562942,1,0.146727052219029
"GSE5281_EC",0.451912294700406,0.146727052219029,1
